,m,l,P,r,T,rho,epsilon,kappa,nabla_ad,nabla,convection/radiation
2224,3.619009504752376e+33,5.796915200621626e+34,907039106267653.5,46175646650.33951,5338069.679235871,1.254796822105159,0.0021147697602939327,2.7687022886696484,0.4,0.4,convective
2225,3.617308654327163e+33,5.796914837700312e+34,914235464986441.2,46125198134.88291,5346268.486779778,1.2628177176065156,0.002147440967159751,2.7629929690728496,0.4,0.4,convective
2226,3.615607803901951e+33,5.796914469088912e+34,921459556005868.1,46074958714.45952,5354444.631752782,1.270857730611507,0.0021804678124083656,2.757320790925535,0.4,0.4,convective
2227,3.613906953476738e+33,5.796914094726618e+34,928711399777344.4,46024926458.82249,5362598.350391606,1.2789168474095427,0.0022138527395658804,2.7516852265169565,0.4,0.4,convective
2228,3.6122061030515255e+33,5.796913714552413e+34,935991017753698.8,45975099465.97114,5370729.884855529,1.28699505337645,0.0022475982229514845,2.7460857417171534,0.4,0.4,convective
2229,3.610505252626313e+33,5.796913328505078e+34,943298432389196.5,45925475862.15085,5378839.48322641,1.2950923329275306,0.002281706768869142,2.7405217961137245,0.4,0.4,convective
2230,3.6088044022011e+33,5.796912936523188e+34,950633667139531.4,45876053801.85311,5386927.399508676,1.3032086694706568,0.0023161809168232906,2.7349928431453745,0.4,0.4,convective
2231,3.607103551775888e+33,5.796912538545112e+34,957996746461818.2,45826831467.81557,5394993.893629313,1.311344045359433,0.0023510232407591867,2.729498330232071,0.4,0.4,convective
2232,3.605402701350675e+33,5.796912134509016e+34,965387695814610.2,45777807071.02188,5403039.23143789,1.31949844184644,0.0023862363503279766,2.7240376989022295,0.4,0.4,convective
2233,3.6037018509254626e+33,5.796911724352859e+34,972806541657879.8,45728978850.70192,5411063.68470653,1.327671839036501,0.0024218228921766547,2.7186103849168712,0.4,0.4,convective
2234,3.6020010005002497e+33,5.796911308014395e+34,980253311453037.4,45680345074.33156,5419067.5311299395,1.3358642158400469,0.0024577855512631468,2.7132158183910815,0.4,0.4,convective
